月份,层数,商铺名称,销售额,总租金,租售比,销售坪效,平均租金,商铺面积,一级业态,二级业态,三级业态,合同起始日期,合同结束日期,扣点方式,扣率,合同期限,商铺面积,平均租金
2014年10月,负一层,casa miel,"304,571 ","27,746 ",9%,2030.4704 ,185 ,150,餐饮,正餐,餐馆/饭店,2013/1/25,2018/5/9,保底与流水两者取高,0.08,5,150,185 
2014年10月,负一层,咬不得,"544,032 ","58,810 ",11%,1660.6593 ,180 ,327.6,餐饮,正餐,快餐,2013/4/5,2018/6/3,保底与流水两者取高,0.09,5,327.6,180 
2014年10月,负一层,厚道青转小火锅,"406,150 ","49,916 ",12%,2183.6000 ,268 ,186,餐饮,正餐,餐馆/饭店,2013/3/1,2018/5/9,保底与流水两者取高,0.1,5,186,268 
2014年10月,负一层,Xiang Wang 象王洗衣,"26,820 ","5,399 ",20%,894.0000 ,NULL,NULL,其它,配套服务,NULL,2014/4/1,2015/3/31,纯保底,,0,30,NULL
2014年10月,负一层,华数,"169,435 ","5,405 ",3%,11766.3333 ,375 ,14.4,其它,配套服务,通讯服务,2014/5/28,2015/5/27,纯保底,,0,14.4,375 
2014年10月,负一层,中国旅行社,"106,860 ","5,396 ",5%,7420.8333 ,375 ,14.4,其它,配套服务,旅行社,2014/6/3,2015/6/2,纯保底,,0,14.4,375 
2014年10月,负一层,维果部落(B1-K07),"22,740 ","2,274 ",10%,9475.0000 ,948 ,2.4,餐饮,轻餐,小吃/冷饮/果汁吧,2014/6/22,2015/6/21,保底(含物管费)与流水两者取高,0.1,0,2.4,948 
2014年10月,负一层,藏鼎堂,"22,769 ",0 ,0%,1264.9333 ,0 ,18,其它,其它的其它,药房/保健品,2013/6/10,2014/9/30,纯保底,,1,18,0 
2014年10月,负一层,臻世海参,"36,972 ","6,359 ",17%,1760.5714 ,303 ,21,其它,其它的其它,药房/保健品,2013/9/30,2015/9/29,保底与流水两者取高,0.07,1,21,303 
2014年10月,负一层,Car's Home 卡士通,"84,552 ","15,777 ",19%,387.1429 ,72 ,218.4,其它,配套服务,汽车美容,2013/9/20,2016/9/19,纯保底,0,2,218.4,72 
2014年11月,负一层,曼诺莎,"46,877 ","14,401 ",31%,813.8333 ,250 ,57.6,餐饮,轻餐,咖啡店/面包店/冰激凌,2013/3/22,2015/5/9,纯保底,0.15,2,57.6,250 
2014年11月,负一层,尊和名品,"333,994 ","17,935 ",5%,6050.6196 ,325 ,55.2,其它,其它的其它,烟/酒/茶,2012/12/12,2015/5/9,保底与流水两者取高,0.03,2,55.2,325 
2014年11月,负一层,一席地,"293,232 ","41,668 ",14%,1161.0757 ,165 ,252.552,餐饮,正餐,餐馆/饭店,2012/12/25,2018/5/9,保底与流水两者取高,0.08,5,252.552,165 
2014年11月,负一层,casa miel,"302,934 ","27,749 ",9%,2019.5616 ,185 ,150,餐饮,正餐,餐馆/饭店,2013/1/25,2018/5/9,保底与流水两者取高,0.08,5,150,185 
2014年11月,负一层,咬不得,"505,995 ","55,356 ",11%,1544.5513 ,169 ,327.6,餐饮,正餐,快餐,2013/4/5,2018/6/3,保底与流水两者取高,0.09,5,327.6,169 
2014年11月,负一层,厚道青转小火锅,"364,206 ","45,708 ",13%,1958.0968 ,246 ,186,餐饮,正餐,餐馆/饭店,2013/3/1,2018/5/9,保底与流水两者取高,0.1,5,186,246 
2014年11月,负一层,藏鼎堂,"20,255 ","5,999 ",30%,1125.2667 ,333 ,18,其它,其它的其它,药房/保健品,2013/6/10,2014/9/30,纯保底,0,1,18,333 
2014年11月,负一层,臻世海参,"34,680 ","6,360 ",18%,1651.4286 ,303 ,21,其它,其它的其它,药房/保健品,2013/9/30,2015/9/29,保底与流水两者取高,0.07,1,21,303 
2014年11月,负一层,Xiang Wang 象王洗衣,"36,698 ","5,398 ",15%,1223.2800 ,180 ,30,其它,配套服务,洗衣店,2014/4/1,2015/3/31,纯保底,0,0,30,180 
2014年11月,负一层,华数,"150,890 ","5,402 ",4%,10478.4667 ,375 ,14.4,其它,配套服务,通讯服务,2014/5/28,2015/5/27,纯保底,0,0,14.4,375 
2014年11月,负一层,中国旅行社,"141,782 ","5,402 ",4%,9846.0000 ,375 ,14.4,其它,配套服务,旅行社,2014/6/3,2015/6/2,纯保底,0,0,14.4,375 
2014年11月,负一层,维果部落(B1-K07),"22,272 ","2,227 ",10%,9280.0000 ,928 ,2.4,餐饮,轻餐,小吃/冷饮/果汁吧,2014/6/22,2015/6/21,保底(含物管费)与流水两者取高,0.1,0,2.4,928 
2014年11月,负一层,Coco 都可茶饮,"234,594 ","36,691 ",16%,7819.8000 ,"1,223 ",30,餐饮,轻餐,小吃/冷饮/果汁吧,2013/2/22,2015/5/9,保底与流水两者取高,0.15,2,30,"1,223 "
2014年11月,负一层,mumu teapresso,"79,493 ","13,466 ",17%,1298.9020 ,220 ,61.2,餐饮,轻餐,小吃/冷饮/果汁吧,2013/3/4,2016/5/9,保底与流水两者取高,0.12,3,61.2,220 
2014年11月,负一层,AYSH,"135,113 ","22,469 ",17%,1563.8056 ,260 ,86.4,餐饮,轻餐,小吃/冷饮/果汁吧,2013/1/24,2016/5/9,保底与流水两者取高,0.13,3,86.4,260 
2014年11月,负一层,Iceason 爱茜茜里,"79,912 ","28,512 ",36%,924.9028 ,330 ,86.4,餐饮,轻餐,咖啡店/面包店/冰激凌,2013/1/8,2018/5/9,保底与流水两者取高,0.16,5,86.4,330 
2014年11月,负一层,博洋家纺,"171,184 ","32,610 ",19%,997.5734 ,190 ,171.6,其它,家居,窗帘/床品,2013/5/29,2015/6/27,保底与流水两者取高,0.14,2,171.6,190 
2014年11月,负一层,糖印,"149,911 ","34,060 ",23%,726.3137 ,165 ,206.4,餐饮,轻餐,咖啡店/面包店/冰激凌,2013/5/15,2017/7/13,保底与流水两者取高,0.1,4,206.4,165 
2014年11月,负一层,Puredown,"279,544 ","54,287 ",19%,1287.0354 ,250 ,217.2,其它,家居,家居家饰/日杂,2013/7/1,2015/8/29,保底与流水两者取高,0.14,2,217.2,250 
2014年11月,负一层,"万仟堂	","98,108 ","30,718 ",31%,638.7219 ,200 ,153.6,其它,家居,家居家饰/日杂,2013/7/1,2015/8/15,保底(含物管费)与流水两者取高,0.15,2,153.6,200 
2014年11月,负一层,Forest Cabin 林清轩,"6,715 ","8,640 ",129%,186.5333 ,240 ,36,美容,化妆品/护肤品/香水,化妆品/护肤品/香水,2014/10/31,2016/10/30,纯保底,0,1,36,240 
2014年11月,负一层,MISSHA 谜尚,"43,349 ","9,181 ",21%,1204.1267 ,255 ,36,美容,化妆品/护肤品/香水,化妆品/护肤品/香水,2014/10/30,2016/10/29,纯保底,0,1,36,255 
2014年11月,负一层,LNO,"199,031 ","37,537 ",19%,1745.8895 ,329 ,114,普通服饰,服饰其它相关,流行配饰/人造珠宝佩,2013/3/25,2015/5/9,保底与流水两者取高,0.16,2,114,329 
2014年11月,负一层,周大生,"433,502 ","46,081 ",11%,3010.4333 ,320 ,144,珠宝,珠宝,珠宝,2013/3/14,2015/5/9,保底与流水两者取高,0.09,2,144,320 
2014年11月,负一层,酷乐潮玩,"279,679 ","49,363 ",18%,1246.3425 ,220 ,224.4,其它,其它的其它,礼品/精品/手工艺品,2013/1/10,2016/5/9,保底与流水两者取高,0.13,3,224.4,220 
2014年11月,负一层,义源珠宝,"27,073 ","19,141 ",71%,410.2000 ,290 ,66,珠宝,珠宝,珠宝,2013/1/9,2015/5/9,保底与流水两者取高,0.15,2,66,290 
2014年11月,负一层,美珍香,"201,630 ","19,437 ",10%,3111.5741 ,300 ,64.8,餐饮,轻餐,小吃/冷饮/果汁吧,2013/2/27,2016/5/9,纯保底,0,3,64.8,300 
2014年11月,负一层,Ajiichiban 优之良品,"108,811 ","18,726 ",17%,2266.9008 ,390 ,48,餐饮,轻餐,小吃/冷饮/果汁吧,2013/1/7,2015/5/9,保底与流水两者取高,0.15,2,48,390 
2014年11月,负一层,渔火东海面点,"224,507 ","32,621 ",15%,1239.0000 ,180 ,181.2,餐饮,正餐,餐馆/饭店,2013/2/24,2018/5/9,保底与流水两者取高,0.1,5,181.2,180 
2014年11月,负一层,Dairy Queen 冰雪皇后,"133,115 ","19,089 ",14%,1499.0378 ,215 ,88.8,餐饮,轻餐,咖啡店/面包店/冰激凌,2013/3/2,2018/5/9,保底与流水两者取高,0.11,5,88.8,215 
2014年11月,负一层,西树泡芙,"122,936 ","18,748 ",15%,2227.1087 ,340 ,55.2,餐饮,轻餐,小吃/冷饮/果汁吧,2013/1/30,2015/5/9,保底与流水两者取高,0.13,2,55.2,340 
2014年11月,负一层,印象IN酒,"202,186 ","59,948 ",30%,505.9721 ,150 ,399.6,餐饮,轻餐,酒吧,2014/7/18,2017/7/17,保底(含物管费)与流水两者取高,0.09,2,399.6,150 
2014年11月,负一层,玩转烤肉餐厅,"457,901 ","73,630 ",16%,808.4405 ,130 ,566.4,餐饮,正餐,餐馆/饭店,2013/3/1,2018/5/29,保底与流水两者取高,0.08,5,566.4,130 
2014年11月,负一层,Pizza Hut 必胜客,"812,853 ","40,643 ",5%,1862.9756 ,93 ,436.32,餐饮,正餐,快餐,2013/4/15,2028/7/13,保底(含物管费)与流水两者取高,0.05,15,436.32,93 
2014年11月,负一层,太兴,"1,251,000 ","103,458 ",8%,1510.8696 ,125 ,828,餐饮,正餐,餐馆/饭店,2013/3/18,2023/7/15,保底(含物管费)与流水两者取高,0.08,10,828,125 
2014年11月,负一层,Ani plaza,"101,930 ","19,499 ",19%,1306.7969 ,250 ,78,其它,其它的其它,音乐/音像商店,2013/1/6,2015/5/9,保底与流水两者取高,0.15,2,78,250 
2014年11月,负一层,Candy Lab 糖果研究室,"202,386 ","26,270 ",13%,5110.7576 ,663 ,39.6,餐饮,轻餐,小吃/冷饮/果汁吧,2014/6/20,2015/6/19,保底与流水两者取高,0.12,0,39.6,663 
2014年11月,负一层,JUST US,"2,191 ",0 ,0%,43.4643 ,0 ,50.4,普通服饰,服饰其它相关,流行配饰/人造珠宝佩,2013/9/3,2015/9/22,保底与流水两者取高,0.16,2,50.4,0 
2014年11月,负一层,启路生活馆,"279,837 ","78,074 ",28%,967.5835 ,270 ,289.212,其它,其它的其它,文具,2012/12/20,2016/5/9,保底与流水两者取高,0.14,3,289.212,270 
2014年11月,负一层,Laofengxiang 老凤祥,"1,524,354 ","64,023 ",4%,8091.0510 ,340 ,188.4,珠宝,珠宝,珠宝,2013/1/10,2015/5/9,保底与流水两者取高,0.09,2,188.4,340 
2014年11月,负一层,中国黄金,"1,872,446 ","67,221 ",4%,9752.3250 ,350 ,192,珠宝,珠宝,珠宝,2013/1/5,2015/5/9,保底与流水两者取高,0.09,2,192,350 
2014年11月,负一层,Watsons 屈臣氏,"1,474,848 ","84,804 ",6%,3914.1393 ,225 ,376.8,其它,其它的其它,药房/保健品,2013/1/17,2021/7/30,纯扣,0.05,8,376.8,225 
2014年11月,负一层,黛拉美甲,"249,359 ","20,896 ",8%,3101.4776 ,260 ,80.4,美容,美容/美发/美甲,美容/美发/美甲,2013/1/10,2015/5/9,纯保底,0,2,80.4,260 
2014年11月,负一层,海伦美甲,"130,457 ","20,286 ",16%,1672.5231 ,260 ,78,美容,美容/美发/美甲,美容/美发/美甲,2013/1/13,2015/5/9,纯保底,0,2,78,260 
2014年11月,负一层,Bao Dao 宝岛眼镜,"204,455 ","47,618 ",23%,1521.2411 ,354 ,134.4,其它,其它的其它,眼镜,2013/1/25,2016/5/9,保底与流水两者取高,0.2,3,134.4,354 
2014年11月,负一层,Bread Talk 面包新语,"468,707 ","46,121 ",10%,2712.4254 ,267 ,172.8,餐饮,轻餐,咖啡店/面包店/冰激凌,2013/2/28,2021/5/9,保底与流水两者取高,0.08,8,172.8,267 
2014年11月,负一层,阿香米线,"814,553 ","96,932 ",12%,5563.8893 ,662 ,146.4,餐饮,正餐,快餐,2013/2/28,2016/5/9,保底与流水两者取高,0.11,3,146.4,662 
2014年11月,负一层,Sukiya 食其家,"364,680 ","42,850 ",12%,1819.7605 ,214 ,200.4,餐饮,正餐,快餐,2012/12/20,2018/5/9,保底与流水两者取高,0.09,5,200.4,214 
2014年11月,负一层,Ajisen Ramen 味千拉面,"514,628 ","53,316 ",10%,2123.0545 ,220 ,242.4,餐饮,正餐,快餐,2013/2/26,2021/5/9,保底与流水两者取高,0.08,8,242.4,220 
2014年11月,负一层,KFC 肯德基,"372,000 ","50,211 ",13%,1000.2581 ,135 ,371.904,餐饮,正餐,快餐,2013/3/4,2028/6/13,保底与流水两者取高,0.08,15,371.904,135 
2014年11月,负一层,永坤黄金,"364,446 ","31,597 ",9%,3230.9043 ,280 ,112.8,珠宝,珠宝,珠宝,2013/9/3,2015/10/17,保底与流水两者取高,0.09,2,112.8,280 
2014年11月,负一层,Hui Lau Shan 许留山,"279,249 ","33,594 ",12%,2465.1202 ,297 ,113.28,餐饮,轻餐,咖啡店/面包店/冰激凌,2013/6/18,2018/7/17,保底与流水两者取高,0.1,5,113.28,297 
2014年11月,负一层,布歌东京,"85,631 ","10,858 ",13%,2973.2917 ,377 ,28.8,餐饮,轻餐,咖啡店/面包店/冰激凌,2013/9/28,2015/9/27,保底与流水两者取高,0.11,1,28.8,377 
2014年11月,负一层,Lactina,"49,738 ","15,001 ",30%,1036.2000 ,313 ,48,餐饮,轻餐,咖啡店/面包店/冰激凌,2013/10/2,2015/10/1,纯保底,0,1,48,313 
