读者ID,读者类型,性别,单位, 
1103AE140220,本科生,男,能源2011-2, 
1103AE140229,本科生,男,能源2011-2, 
1106AE140105,本科生,女,电气2011-1, 
1106AE140204,本科生,女,电气2011-2, 
1107AD140227,本科生,男,计2011-2, 
1107AD140608,本科生,男,计2013-6, 
1108AC240117,本科生,男,商管2011-1, 
1108AC940118,本科生,女,旅游2011-1, 
1111AC140211,本科生,男,英语2011-2, 
1114AC140307,本科生,男,环设2013-1, 
1114AC140324,本科生,男,环设2013-1, 
1115AC140109,本科生,男,软工2011-1, 
1201AC140129,本科生,男,勘资2012-1, 
1201AC140315,本科生,男,勘资2012-3, 
1202AE140102,本科生,男,海油2012-1, 
1203AE140105,本科生,男,能源2012-1, 
1205AC150101,本科生,男,建筑2012-1, 
1205AC150103,本科生,男,建筑2012-1, 
1205AC150104,本科生,男,建筑2012-1, 
1205AC150105,本科生,男,建筑2012-1, 
1205AC150106,本科生,男,建筑2012-1, 
1205AC150107,本科生,男,建筑2012-1, 
1205AC150108,本科生,男,建筑2012-1, 
1205AC150109,本科生,男,建筑2012-1, 
1205AC150111,本科生,男,建筑2012-1, 
1205AC150113,本科生,男,建筑2012-1, 
1205AC150114,本科生,男,建筑2012-1, 
1205AC150115,本科生,男,建筑2012-1, 
1205AC150118,本科生,男,建筑2012-1, 
1205AC150119,本科生,男,建筑2012-1, 
1205AC150120,本科生,男,建筑2012-1, 
1205AC150202,本科生,男,建筑2012-2, 
1205AC150204,本科生,男,建筑2012-2, 
1205AC150205,本科生,男,建筑2012-2, 
1205AC150206,本科生,男,建筑2012-2, 
1205AC150208,本科生,男,建筑2012-2, 
1205AC150209,本科生,男,建筑2012-2, 
1205AC150211,本科生,男,建筑2012-2, 
1205AC150212,本科生,男,建筑2012-2, 
1205AC150213,本科生,男,建筑2012-2, 
1205AC150214,本科生,男,建筑2012-2, 
1205AC150218,本科生,男,建筑2012-2, 
1206AC140502,本科生,男,自2012-5, 
1206AC140807,本科生,男,自2012-8, 
1207AD140201,本科生,男,计2012-2, 
1207AD140211,本科生,男,计2012-2, 
1207AD140213,本科生,男,计2012-2, 
1207AD140830,本科生,男,计2012-08, 
1207AD240110,本科生,男,教2012-1, 
1208AC140126,本科生,男,营销2012-1, 
1208AC240101,本科生,男,商管2012-1, 
1208AC240710,本科生,女,商管2012-7, 
1209AC140111,本科生,男,电信2012-1, 
1212AC240120,本科生,男,社工2012-1, 
1214AC140323,本科生,男,艺术设计美12-3, 
1301AC140101,本科生,男,勘资2013-1, 
1301AC140106,本科生,男,勘资2013-1, 
1301AC140113,本科生,男,勘资2013-1, 
1301AC140114,本科生,男,勘资2013-1, 
1301AC140115,本科生,男,勘资2013-1, 
1301AC140117,本科生,男,勘资2013-1, 
1301AC140118,本科生,男,勘资2013-1, 
1301AC140121,本科生,男,勘资2013-1, 
1301AC140124,本科生,男,勘资2013-1, 
1301AC140128,本科生,男,勘资2013-1, 
1301AC140129,本科生,男,勘资2013-1, 
1301AC140131,本科生,男,勘资2013-1, 
1301AC140202,本科生,男,勘资2013-2, 
1301AC140205,本科生,男,勘资2013-2, 
1301AC140209,本科生,男,勘资2013-2, 
1301AC140213,本科生,男,勘资2013-2, 
1301AC140214,本科生,男,勘资2013-2, 
1301AC140216,本科生,男,勘资2013-2, 
1301AC140217,本科生,男,勘资2013-2, 
1301AC140222,本科生,男,勘资2013-2, 
1301AC140223,本科生,男,勘资2013-2, 
1301AC140225,本科生,男,勘资2013-2, 
1301AC140226,本科生,男,勘资2013-2, 
1301AC140230,本科生,男,勘资2013-2, 
1301AC140231,本科生,男,勘资2013-2, 
1301AC140232,本科生,男,勘资2013-2, 
1301AC140233,本科生,男,勘资2013-2, 
1301AC140301,本科生,男,勘资2013-3, 
1301AC140302,本科生,男,勘资2013-3, 
1301AC140304,本科生,男,勘资2013-3, 
1301AC140306,本科生,男,勘资2013-3, 
1301AC140307,本科生,男,勘资2013-3, 
1301AC140311,本科生,男,勘资2013-3, 
1301AC140313,本科生,男,勘资2013-3, 
1301AC140315,本科生,男,勘资2013-3, 
1301AC140317,本科生,男,勘资2013-3, 
1301AC140322,本科生,男,勘资2013-3, 
1301AC140323,本科生,男,勘资2013-3, 
1301AC140326,本科生,男,勘资2013-3, 
1301AC140327,本科生,男,勘资2013-3, 
1301AC140328,本科生,男,勘资2013-3, 
1301AC140331,本科生,男,勘资2013-3, 
1301AC140332,本科生,男,勘资2013-3, 
1301AC340101,本科生,男,地化2013-1, 
1301AC340102,本科生,男,地化2013-1, 
1301AC340103,本科生,男,地化2013-1, 
1301AC340105,本科生,男,地化2013-1, 
1301AC340107,本科生,男,地化2013-1, 
1301AC340108,本科生,男,地化2013-1, 
1301AC340109,本科生,男,地化2013-1, 
1301AC340110,本科生,男,地化2013-1, 
1301AC340111,本科生,男,地化2013-1, 
1301AC340112,本科生,男,地化2013-1, 
1301AC340113,本科生,男,地化2013-1, 
1301AC340114,本科生,男,地化2013-1, 
1301AC340119,本科生,男,地化2013-1, 
1301AC340124,本科生,男,地化2013-1, 
1301AC340125,本科生,男,地化2013-1, 
1301AC340127,本科生,男,地化2013-1, 
1301AC340128,本科生,男,地化2013-1, 
1301AC340202,本科生,男,地化2013-2, 
1301AC340203,本科生,男,地化2013-2, 
1301AC340204,本科生,男,地化2013-2, 
1301AC340209,本科生,男,地化2013-2, 
1301AC340210,本科生,男,地化2013-2, 
1301AC340211,本科生,男,地化2013-2, 
1301AC340212,本科生,男,地化2013-2, 
1301AC340213,本科生,男,地化2013-2, 
1301AC340216,本科生,男,地化2013-2, 
1301AC340217,本科生,男,地化2013-2, 
1301AC340218,本科生,男,地化2013-2, 
1301AC340222,本科生,男,地化2013-2, 
1301AC340225,本科生,男,地化2013-2, 
1301AC340227,本科生,男,地化2013-2, 
1301AC340228,本科生,男,地化2013-2, 
1301AD140101,本科生,男,勘技2013-1, 
1301AD140102,本科生,男,勘技2013-1, 
1301AD140103,本科生,男,勘技2013-1, 
1301AD140104,本科生,男,勘技2013-1, 
1301AD140105,本科生,男,勘技2013-1, 
1301AD140106,本科生,男,勘技2013-1, 
1301AD140107,本科生,男,勘技2013-1, 
1301AD140108,本科生,男,勘技2013-1, 
1301AD140109,本科生,男,勘技2013-1, 
1301AD140110,本科生,男,勘技2013-1, 
1301AD140111,本科生,男,勘技2013-1, 
1301AD140112,本科生,男,勘技2013-1, 
1301AD140113,本科生,男,勘技2013-1, 
1301AD140114,本科生,男,勘技2013-1, 
1301AD140115,本科生,男,勘技2013-1, 
1301AD140120,本科生,男,勘技2013-1, 
1301AD140121,本科生,男,勘技2013-1, 
1301AD140122,本科生,男,勘技2013-1, 
1301AD140123,本科生,男,勘技2013-1, 
1301AD140125,本科生,男,勘技2013-1, 
1301AD140126,本科生,男,勘技2013-1, 
1301AD140127,本科生,男,勘技2013-1, 
1301AD140128,本科生,男,勘技2013-1, 
1301AD140129,本科生,男,勘技2013-1, 
1301AD140201,本科生,男,勘技2013-2, 
1301AD140202,本科生,男,勘技2013-2, 
1301AD140203,本科生,男,勘技2013-2, 
1301AD140204,本科生,男,勘技2013-2, 
1301AD140205,本科生,男,勘技2013-2, 
1301AD140206,本科生,男,勘技2013-2, 
1301AD140207,本科生,男,勘技2013-2, 
1301AD140208,本科生,男,勘技2013-2, 
1301AD140210,本科生,男,勘技2013-2, 
1301AD140212,本科生,男,勘技2013-2, 
1301AD140214,本科生,男,勘技2013-2, 
1301AD140215,本科生,男,勘技2013-2, 
1301AD140219,本科生,男,勘技2013-2, 
1301AD140220,本科生,男,勘技2013-2, 
1301AD140224,本科生,男,勘技2013-2, 
1301AD140226,本科生,男,勘技2013-2, 
1301AD140227,本科生,男,勘技2013-2, 
1301AD140228,本科生,男,勘技2013-2, 
1301AD140229,本科生,男,勘技2013-2, 
1301AD140301,本科生,男,勘技2013-3, 
1301AD140302,本科生,男,勘技2013-3, 
1301AD140308,本科生,男,勘技2013-3, 
1301AD140312,本科生,男,勘技2013-3, 
1301AD140313,本科生,男,勘技2013-3, 
1301AD140316,本科生,男,勘技2013-3, 
1301AD140317,本科生,男,勘技2013-3, 
1301AD140318,本科生,男,勘技2013-3, 
1301AD140319,本科生,男,勘技2013-3, 
1301AD140320,本科生,男,勘技2013-3, 
1301AD140321,本科生,男,勘技2013-3, 
1301AD140324,本科生,男,勘技2013-3, 
1301AD140325,本科生,男,勘技2013-3, 
1301AD140326,本科生,男,勘技2013-3, 
1301AD140327,本科生,男,勘技2013-3, 
1301AD140406,本科生,男,勘技2013-4, 
1301AD140408,本科生,男,勘技2013-4, 
1301AD140409,本科生,男,勘技2013-4, 
1301AD140412,本科生,男,勘技2013-4, 
1301AD140413,本科生,男,勘技2013-4, 
1301AD140415,本科生,男,勘技2013-4, 
1301AD140416,本科生,男,勘技2013-4, 
1301AD140419,本科生,男,勘技2013-4, 
1301AD140421,本科生,男,勘技2013-4, 
1301AD140422,本科生,男,勘技2013-4, 
1301AD140423,本科生,男,勘技2013-4, 
1301AD140425,本科生,男,勘技2013-4, 
1301AD140427,本科生,男,勘技2013-4, 
1301AD240103,本科生,男,地物2013-1, 
1301AD240105,本科生,男,地物2013-1, 
1301AD240111,本科生,男,地物2013-1, 
1301AD240113,本科生,男,地物2013-1, 
1301AD240118,本科生,男,地物2013-1, 
1301AD240119,本科生,男,地物2013-1, 
1301AD240120,本科生,男,地物2013-1, 
1301AD240121,本科生,男,地物2013-1, 
1301AD240122,本科生,男,地物2013-1, 
1301AD240123,本科生,男,地物2013-1, 
1301AD240125,本科生,男,地物2013-1, 
1301AD240127,本科生,男,地物2013-1, 
1301AD240201,本科生,男,地物2013-2, 
1301AD240204,本科生,男,地物2013-2, 
1301AD240207,本科生,男,地物2013-2, 
1301AD240208,本科生,男,地物2013-2, 
1301AD240209,本科生,男,地物2013-2, 
1301AD240210,本科生,男,地物2013-2, 
1301AD240211,本科生,男,地物2013-2, 
1301AD240212,本科生,男,地物2013-2, 
1301AD240213,本科生,男,地物2013-2, 
1301AD240214,本科生,男,地物2013-2, 
1301AD240215,本科生,男,地物2013-2, 
1301AD240218,本科生,男,地物2013-2, 
1301AD240219,本科生,男,地物2013-2, 
1301AD240221,本科生,男,地物2013-2, 
1301AD240222,本科生,男,地物2013-2, 
1301AD240223,本科生,男,地物2013-2, 
1301AD240224,本科生,男,地物2013-2, 
1301AD240226,本科生,男,地物2013-2, 
1301AI140101,本科生,男,地2013-1, 
1301AI140102,本科生,男,地2013-1, 
1301AI140103,本科生,男,地2013-1, 
1301AI140104,本科生,男,地2013-1, 
1301AI140106,本科生,男,地2013-1, 
1301AI140107,本科生,男,地2013-1, 
1301AI140110,本科生,男,地2013-1, 
1301AI140115,本科生,男,地2013-1, 
1301AI140116,本科生,男,地2013-1, 
1301AI140117,本科生,男,地2013-1, 
1301AI140118,本科生,男,地2013-1, 
1301AI140125,本科生,男,地2013-1, 
1301AI140128,本科生,男,地2013-1, 
1302AC140105,本科生,男,油2013-1, 
1302AC140106,本科生,男,油2013-1, 
1302AC140107,本科生,男,油2013-1, 
1302AC140109,本科生,男,油2013-1, 
1302AC140111,本科生,男,油2013-1, 
1302AC140112,本科生,男,油2013-1, 
1302AC140113,本科生,男,油2013-1, 
1302AC140114,本科生,男,油2013-1, 
1302AC140115,本科生,男,油2013-1, 
1302AC140117,本科生,男,油2013-1, 
1302AC140118,本科生,男,油2013-1, 
1302AC140119,本科生,男,油2013-1, 
1302AC140120,本科生,男,油2013-1, 
1302AC140121,本科生,男,油2013-1, 
1302AC140122,本科生,男,油2013-1, 
1302AC140123,本科生,男,油2013-1, 
1302AC140124,本科生,男,油2013-1, 
1302AC140125,本科生,男,油2013-1, 
1302AC140126,本科生,男,油2013-1, 
1302AC140127,本科生,男,油2013-1, 
1302AC140128,本科生,男,油2013-1, 
1302AC140129,本科生,男,油2013-1, 
1302AC140130,本科生,男,油2013-1, 
1302AC140131,本科生,男,油2013-1, 
1302AC140202,本科生,男,油2013-2, 
1302AC140203,本科生,男,油2013-2, 
1302AC140204,本科生,男,油2013-2, 
1302AC140205,本科生,男,油2013-2, 
1302AC140206,本科生,男,油2013-2, 
1302AC140208,本科生,男,油2013-2, 
1302AC140209,本科生,男,油2013-2, 
1302AC140210,本科生,男,油2013-2, 
1302AC140211,本科生,男,油2013-2, 
1302AC140214,本科生,男,油2013-2, 
1302AC140215,本科生,男,油2013-2, 
1302AC140216,本科生,男,油2013-2, 
1302AC140221,本科生,男,油2013-2, 
1302AC140222,本科生,男,油2013-2, 
1302AC140224,本科生,男,油2013-2, 
1302AC140225,本科生,男,油2013-2, 
1302AC140229,本科生,男,油2013-2, 
1302AC140230,本科生,男,油2013-2, 
1302AC140232,本科生,男,油2013-2, 
1302AC140304,本科生,男,油2013-3, 
1302AC140308,本科生,男,油2013-3, 
1302AC140309,本科生,男,油2013-3, 
1302AC140311,本科生,男,油2013-3, 
1302AC140313,本科生,男,油2013-3, 
1302AC140316,本科生,男,油2013-3, 
1302AC140317,本科生,男,油2013-3, 
1302AC140320,本科生,男,油2013-3, 
1302AC140323,本科生,男,油2013-3, 
1302AC140324,本科生,男,油2013-3, 
1302AC140325,本科生,男,油2013-3, 
1302AC140326,本科生,男,油2013-3, 
1302AC140327,本科生,男,油2013-3, 
1302AC140328,本科生,男,油2013-3, 
1302AC140329,本科生,男,油2013-3, 
1302AC140330,本科生,男,油2013-3, 
1302AC140331,本科生,男,油2013-3, 
1302AC140332,本科生,男,油2013-3, 
1302AC140402,本科生,男,油2013-4, 
1302AC140404,本科生,男,油2013-4, 
1302AC140405,本科生,男,油2013-4, 
1302AC140406,本科生,男,油2013-4, 
1302AC140407,本科生,男,油2013-4, 
1302AC140408,本科生,男,油2013-4, 
1302AC140409,本科生,男,油2013-4, 
1302AC140410,本科生,男,油2013-4, 
1302AC140411,本科生,男,油2013-4, 
1302AC140416,本科生,男,油2013-4, 
1302AC140417,本科生,男,油2013-4, 
1302AC140420,本科生,男,油2013-4, 
1302AC140423,本科生,男,油2013-4, 
1302AC140424,本科生,男,油2013-4, 
1302AC140425,本科生,男,油2013-4, 
1302AC140427,本科生,男,油2013-4, 
1302AC140428,本科生,男,油2013-4, 
1302AC140429,本科生,男,油2013-4, 
1302AC140430,本科生,男,油2013-4, 
1302AC140431,本科生,男,油2013-4, 
1302AC140701,本科生,男,油2013-7, 
1302AC140702,本科生,男,油2013-7, 
1302AC140703,本科生,男,油2013-7, 
1302AC140704,本科生,男,油2013-7, 
1302AC140706,本科生,男,油2013-7, 
1302AC140709,本科生,男,油2013-7, 
1302AC140710,本科生,男,油2013-7, 
1302AC140712,本科生,男,油2013-7, 
1302AC140716,本科生,男,油2013-7, 
1302AC140718,本科生,男,油2013-7, 
1302AC140719,本科生,男,油2013-7, 
1302AC140720,本科生,男,油2013-7, 
1302AC140721,本科生,男,油2013-7, 
1302AC140723,本科生,男,油2013-7, 
1302AC140724,本科生,男,油2013-7, 
1302AC140801,本科生,男,油2013-8, 
1302AC140802,本科生,男,油2013-8, 
1302AC140803,本科生,男,油2013-8, 
1302AC140804,本科生,男,油2013-8, 
1302AC140805,本科生,男,油2013-8, 
1302AC140807,本科生,男,油2013-8, 
1302AC140808,本科生,男,油2013-8, 
1302AC140810,本科生,男,油2013-8, 
1302AC140811,本科生,男,油2013-8, 
1302AC140813,本科生,男,油2013-8, 
1302AC140814,本科生,男,油2013-8, 
1302AC140815,本科生,男,油2013-8, 
1302AC140816,本科生,男,油2013-8, 
1302AC140817,本科生,男,油2013-8, 
1302AC140820,本科生,男,油2013-8, 
1302AC140821,本科生,男,油2013-8, 
1302AC140822,本科生,男,油2013-8, 
1302AC140823,本科生,男,油2013-8, 
1302AC140824,本科生,男,油2013-8, 
1302AD140101,本科生,男,储运2013-1, 
1302AD140104,本科生,男,储运2013-1, 
1302AD140106,本科生,男,储运2013-1, 
1302AD140107,本科生,男,储运2013-1, 
1302AD140108,本科生,男,储运2013-1, 
1302AD140109,本科生,男,储运2013-1, 
1302AD140110,本科生,男,储运2013-1, 
1302AD140113,本科生,男,储运2013-1, 
1302AD140114,本科生,男,储运2013-1, 
1302AD140115,本科生,男,储运2013-1, 
1302AD140118,本科生,男,储运2013-1, 
1302AD140119,本科生,男,储运2013-1, 
1302AD140120,本科生,男,储运2013-1, 
1302AD140121,本科生,男,储运2013-1, 
1302AD140122,本科生,男,储运2013-1, 
1302AD140123,本科生,男,储运2013-1, 
1302AD140125,本科生,男,储运2013-1, 
1302AD140126,本科生,男,储运2013-1, 
1302AD140128,本科生,男,储运2013-1, 
1302AD140132,本科生,男,储运2013-1, 
1302AD140134,本科生,男,油2013-1, 
1302AD140201,本科生,男,储运2013-2, 
1302AD140202,本科生,男,储运2013-2, 
1302AD140203,本科生,男,储运2013-2, 
1302AD140205,本科生,男,储运2013-2, 
1302AD140206,本科生,男,储运2013-2, 
1302AD140210,本科生,男,储运2013-2, 
1302AD140211,本科生,男,储运2013-2, 
1302AD140212,本科生,男,储运2013-2, 
1302AD140213,本科生,男,储运2013-2, 
1302AD140214,本科生,男,储运2013-2, 
1302AD140216,本科生,男,储运2013-2, 
1302AD140217,本科生,男,储运2013-2, 
1302AD140218,本科生,男,储运2013-2, 
1302AD140219,本科生,男,储运2013-2, 
1302AD140222,本科生,男,储运2013-2, 
1302AD140223,本科生,男,储运2013-2, 
1302AD140225,本科生,男,储运2013-2, 
1302AD140226,本科生,男,储运2013-2, 
1302AD140227,本科生,男,储运2013-2, 
1302AD140231,本科生,男,储运2013-2, 
1302AD140232,本科生,男,储运2013-2, 
1302AD140303,本科生,男,储运2013-3, 
1302AD140307,本科生,男,储运2013-3, 
1302AD140314,本科生,男,储运2013-3, 
1302AD140318,本科生,男,储运2013-3, 
1302AD140319,本科生,男,储运2013-3, 
1302AD140320,本科生,男,储运2013-3, 
1302AD140328,本科生,男,储运2013-3, 
1302AD140329,本科生,男,储运2013-3, 
1302AD140330,本科生,男,储运2013-3, 
1302AD140331,本科生,男,储运2013-3, 
1302AD140403,本科生,男,储运2013-4, 
1302AD140408,本科生,男,储运2013-4, 
1302AD140410,本科生,男,储运2013-4, 
1302AD140411,本科生,男,储运2013-4, 
1302AD140413,本科生,男,储运2013-4, 
1302AD140414,本科生,男,储运2013-4, 
1302AD140415,本科生,男,储运2013-4, 
1302AD140417,本科生,男,储运2013-4, 
1302AD140418,本科生,男,储运2013-4, 
1302AD140419,本科生,男,储运2013-4, 
1302AD140423,本科生,男,储运2013-4, 
1302AD140427,本科生,男,储运2013-4, 
1302AD140429,本科生,男,储运2013-4, 
1302AD140430,本科生,男,储运2013-4, 
1302AD140515,本科生,男,储运2013-5, 
1302AD140522,本科生,男,储运2013-5, 
1302AD140523,本科生,男,储运2013-5, 
1302AD140524,本科生,男,储运2013-5, 
1302AD140528,本科生,男,储运2013-5, 
1302AD140530,本科生,男,储运2013-5, 
1302AD140603,本科生,男,储运2013-6, 
1302AD140605,本科生,男,储运2013-6, 
1302AD140607,本科生,男,储运2013-6, 
1302AD140608,本科生,男,储运2013-6, 
1302AD140610,本科生,男,储运2013-6, 
1302AD140613,本科生,男,储运2013-6, 
1302AD140617,本科生,男,储运2013-6, 
1302AD140618,本科生,男,储运2013-6, 
1302AD140621,本科生,男,储运2013-6, 
1302AD140624,本科生,男,储运2013-6, 
1302AD140625,本科生,男,储运2013-6, 
1302AD140626,本科生,男,储运2013-6, 
1302AD140627,本科生,男,储运2013-6, 
1302AD140628,本科生,男,储运2013-6, 
1302AD140704,本科生,男,储运2013-7, 
1302AD140705,本科生,男,储运2013-7, 
1302AD140707,本科生,男,储运2013-7, 
1302AD140709,本科生,男,储运2013-7, 
1302AD140710,本科生,男,储运2013-7, 
1302AD140713,本科生,男,储运2013-7, 
1302AD140714,本科生,男,储运2013-7, 
1302AD140715,本科生,男,储运2013-7, 
1302AD140719,本科生,男,储运2013-7, 
1302AD140720,本科生,男,储运2013-7, 
1302AD140721,本科生,男,储运2013-7, 
1302AD140722,本科生,男,储运2013-7, 
1302AD140802,本科生,男,储运2013-8, 
1302AD140803,本科生,男,储运2013-8, 
1302AD140804,本科生,男,储运2013-8, 
1302AD140805,本科生,男,储运2013-8, 
1302AD140810,本科生,男,储运2013-8, 
1302AD140817,本科生,男,储运2013-8, 
1302AD140829,本科生,男,储运2013-8, 
1302AD140830,本科生,男,储运2013-8, 
1302AD140901,本科生,男,储运2013-9, 
1302AD140906,本科生,男,储运2013-9, 
1302AD140907,本科生,男,储运2013-9, 
1302AD140911,本科生,男,储运2013-9, 
1302AD140912,本科生,男,储运2013-9, 
1302AD140914,本科生,男,储运2013-9, 
1302AD140917,本科生,男,储运2013-9, 
1302AD140924,本科生,男,储运2013-9, 
1302AD140925,本科生,男,储运2013-9, 
1302AD140926,本科生,男,储运2013-9, 
1302AD141001,本科生,男,储运2013-10, 
1302AD141007,本科生,男,储运2013-10, 
1302AD141008,本科生,男,储运2013-10, 
1302AD141009,本科生,男,储运2013-10, 
1302AD141014,本科生,男,储运2013-10, 
1302AD141015,本科生,男,储运2013-10, 
1302AD141024,本科生,男,储运2013-10, 
1302AD141027,本科生,男,储运2013-10, 
1302AE140101,本科生,男,海油2013-1, 
1302AE140103,本科生,男,海油2013-1, 
1302AE140104,本科生,男,海油2013-1, 
1302AE140105,本科生,男,海油2013-1, 
1302AE140107,本科生,男,海油2013-1, 
1302AE140108,本科生,男,海油2013-1, 
1302AE140109,本科生,男,海油2013-1, 
1302AE140110,本科生,男,海油2013-1, 
1302AE140111,本科生,男,海油2013-1, 
1302AE140112,本科生,男,海油2013-1, 
1302AE140113,本科生,男,海油2013-1, 
1302AE140115,本科生,男,海油2013-1, 
1302AE140117,本科生,男,海油2013-1, 
1302AE140119,本科生,男,海油2013-1, 
1302AE140121,本科生,男,海油2013-1, 
1302AE140122,本科生,男,海油2013-1, 
1302AE140123,本科生,男,海油2013-1, 
1302AE140125,本科生,男,海油2013-1, 
1302AE140127,本科生,男,海油2013-1, 
1302AE140128,本科生,男,海油2013-1, 
1302AE140129,本科生,男,海油2013-1, 
1302AE140130,本科生,男,海油2013-1, 
1302AE140201,本科生,男,海油2013-2, 
1302AE140204,本科生,男,海油2013-2, 
1302AE140205,本科生,男,海油2013-2, 
1302AE140206,本科生,男,海油2013-2, 
1302AE140207,本科生,男,海油2013-2, 
1302AE140208,本科生,男,海油2013-2, 
1302AE140210,本科生,男,海油2013-2, 
1302AE140211,本科生,男,海油2013-2, 
1302AE140212,本科生,男,海油2013-2, 
1302AE140213,本科生,男,海油2013-2, 
1302AE140216,本科生,男,海油2013-2, 
1302AE140219,本科生,男,海油2013-2, 
1302AE140220,本科生,男,海油2013-2, 
1302AE140222,本科生,男,海油2013-2, 
1302AE140226,本科生,男,海油2013-2, 
1302AE140227,本科生,男,海油2013-2, 
1302AE140228,本科生,男,海油2013-2, 
1302AE140229,本科生,男,海油2013-2, 
1303AC140101,本科生,男,化2013-1, 
1303AC140102,本科生,男,化2013-1, 
1303AC140103,本科生,男,化2013-1, 
1303AC140104,本科生,男,化2013-1, 
1303AC140105,本科生,男,化2013-1, 
1303AC140109,本科生,男,化2013-1, 
1303AC140111,本科生,男,化2013-1, 
1303AC140116,本科生,男,化2013-1, 
1303AC140118,本科生,男,化2013-1, 
1303AC140120,本科生,男,化2013-1, 
1303AC140121,本科生,男,化2013-1, 
1303AC140123,本科生,男,化2013-1, 
1303AC140124,本科生,男,化2013-1, 
1303AC140126,本科生,男,化2013-1, 
1303AC140127,本科生,男,化2013-1, 
1303AC140128,本科生,男,化2013-1, 
1303AC140129,本科生,男,化2013-1, 
1303AC140204,本科生,男,化2013-2, 
1303AC140207,本科生,男,化2013-2, 
1303AC140208,本科生,男,化2013-2, 
1303AC140209,本科生,男,化2013-2, 
1303AC140210,本科生,男,化2013-2, 
1303AC140213,本科生,男,化2013-2, 
1303AC140214,本科生,男,化2013-2, 
1303AC140215,本科生,男,化2013-2, 
1303AC140216,本科生,男,化2013-2, 
1303AC140217,本科生,男,化2013-2, 
1303AC140218,本科生,男,化2013-2, 
1303AC140222,本科生,男,化2013-2, 
1303AC140224,本科生,男,化2013-2, 
1303AC140225,本科生,男,化2013-2, 
1303AC140226,本科生,男,化2013-2, 
1303AC140227,本科生,男,化2013-2, 
1303AC140301,本科生,男,化2013-3, 
1303AC140302,本科生,男,化2013-3, 
1303AC140304,本科生,男,化2013-3, 
1303AC140306,本科生,男,化2013-3, 
1303AC140307,本科生,男,化2013-3, 
1303AC140308,本科生,男,化2013-3, 
1303AC140311,本科生,男,化2013-3, 
1303AC140312,本科生,男,化2013-3, 
1303AC140313,本科生,男,化2013-3, 
1303AC140316,本科生,男,化2013-3, 
1303AC140317,本科生,男,化2013-3, 
1303AC140318,本科生,男,化2013-3, 
1303AC140319,本科生,男,化2013-3, 
1303AC140321,本科生,男,化2013-3, 
1303AC140324,本科生,男,化2013-3, 
1303AC140327,本科生,男,化2013-3, 
1303AC240101,本科生,男,环境2013-1, 
1303AC240102,本科生,男,环境2013-1, 
1303AC240103,本科生,男,环境2013-1, 
1303AC240105,本科生,男,环境2013-1, 
1303AC240106,本科生,男,环境2013-1, 
1303AC240108,本科生,男,环境2013-1, 
1303AC240110,本科生,男,环境2013-1, 
1303AC240111,本科生,男,环境2013-1, 
1303AC240112,本科生,男,环境2013-1, 
1303AC240113,本科生,男,环境2013-1, 
1303AC240114,本科生,男,环境2013-1, 
1303AC240116,本科生,男,环境2013-1, 
1303AC240118,本科生,男,环境2013-1, 
1303AC240119,本科生,男,环境2013-1, 
1303AC240121,本科生,男,环境2013-1, 
1303AC240122,本科生,男,环境2013-1, 
1303AC240123,本科生,男,环境2013-1, 
1303AC240124,本科生,男,环境2013-1, 
1303AC240125,本科生,男,环境2013-1, 
1303AC240126,本科生,男,环境2013-1, 
1303AC240128,本科生,男,环境2013-1, 
1303AC240129,本科生,男,环境2013-1, 
1303AC240130,本科生,男,环境2013-1, 
1303AC240204,本科生,男,环境2013-2, 
1303AC240205,本科生,男,环境2013-2, 
1303AC240206,本科生,男,环境2013-2, 
1303AC240207,本科生,男,环境2013-2, 
1303AC240214,本科生,男,环境2013-2, 
1303AC240215,本科生,男,环境2013-2, 
1303AC240216,本科生,男,环境2013-2, 
1303AC240217,本科生,男,环境2013-2, 
1303AC240218,本科生,男,环境2013-2, 
1303AC240219,本科生,男,环境2013-2, 
1303AC240220,本科生,男,环境2013-2, 
1303AC240221,本科生,男,环境2013-2, 
1303AC240222,本科生,男,环境2013-2, 
1303AC240223,本科生,男,环境2013-2, 
1303AC240225,本科生,男,环境2013-2, 
1303AC240226,本科生,男,环境2013-2, 
1303AC240227,本科生,男,环境2013-2, 
1303AC240228,本科生,男,环境2013-2, 
1303AC240229,本科生,男,环境2013-2, 
1303AC340102,本科生,男,高材2013-1, 
1303AC340103,本科生,男,高材2013-1, 
1303AC340104,本科生,男,高材2013-1, 
1303AC340106,本科生,男,高材2013-1, 
1303AC340110,本科生,男,高材2013-1, 
1303AC340111,本科生,男,高材2013-1, 
1303AC340112,本科生,男,高材2013-1, 
1303AC340114,本科生,男,高材2013-1, 
1303AC340116,本科生,男,高材2013-1, 
1303AC340117,本科生,男,高材2013-1, 
1303AC340118,本科生,男,高材2013-1, 
1303AC340123,本科生,男,高材2013-1, 
1303AC340126,本科生,男,高材2013-1, 
1303AC340201,本科生,男,高材2013-2, 
1303AC340202,本科生,男,高材2013-2, 
1303AC340203,本科生,男,高材2013-2, 
1303AC340204,本科生,男,高材2013-2, 
1303AC340205,本科生,男,高材2013-2, 
1303AC340208,本科生,男,高材2013-2, 
1303AC340209,本科生,男,高材2013-2, 
1303AC340211,本科生,男,高材2013-2, 
1303AC340213,本科生,男,高材2013-2, 
1303AC340214,本科生,男,高材2013-2, 
