年龄,身高,学历,工资,家乡,婚姻,住房,自我介绍,对象年龄,对象身高,对象学历,对象薪水,对象家乡,对象婚姻,对象住房,最低工资,最高工资,平均工资,对象最低年龄,对象最高年龄,对象平均年龄,对象最低身高,对象最高身高,对象平均身高,对象最低薪水,对象最高薪水,对象平均薪水
22,162,高中,10000-20000,台湾省,未婚,以后再告诉你,"['来到', '希望', '朋友', '期待', '快快', '发信']",21 - 29,162 - 187,不限,0-0,台湾省,不限,不限,10000,20000,15000,21,29,25,162,187,174.5,0,0,0
31,161,大专,5000-10000,澳门特别行政区,未婚,以后再告诉你,"['希望', '找到', '真诚', '自信', '阳光', '相扶', '相持', '生活']",30 - 38,161 - 186,不限,0-0,澳门特别行政区,不限,不限,5000,10000,7500,30,38,34,161,186,173.5,0,0,0
23,158,大专,10000-20000,台湾省,未婚,以后再告诉你,"['来到', '希望', '朋友', '期待', '快快', '发信']",21 - 29,158 - 183,不限,0-0,台湾省,不限,不限,10000,20000,15000,21,29,25,158,183,170.5,0,0,0
24,160,大专,10000-20000,台湾省,未婚,以后再告诉你,"['来到', '希望', '朋友', '期待', '快快', '发信']",23 - 31,160 - 185,不限,0-0,台湾省,不限,不限,10000,20000,15000,23,31,27,160,185,172.5,0,0,0
22,168,高中,5000-10000,香港特别行政区,未婚,以后再告诉你,"['希望', '过客', '盼望', '找到', '爱', '我会', '努力', '寻找', '珍惜', '放手']",21 - 29,168 - 193,不限,0-0,香港特别行政区,不限,不限,5000,10000,7500,21,29,25,168,193,180.5,0,0,0
38,172,硕士,5000-10000,以后告诉你,未婚,以后告诉你,"['希望', '过客', '盼望', '找到', '爱', '我会', '努力', '寻找', '珍惜', '放手']",26 - 37,160 - 211,"初中,中专/职高/技校,高中,大专,本科,硕士,博士","2000以下,2000-5000,5000-10000,10000-20000,20000-50000",不限,不限,不限,5000,10000,7500,26,37,31.5,160,211,185.5,0,0,0
28,164,本科,5000-10000,山西省,未婚,已购房(无贷款),"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",27 - 37,170 - 190,不限,0-0,山西省,不限,不限,5000,10000,7500,27,37,32,170,190,180,0,0,0
29,165,本科,5000-10000,内蒙古自治区,未婚,住单位房,"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",28 - 38,170 - 190,不限,0-0,内蒙古自治区,不限,不限,5000,10000,7500,28,38,33,170,190,180,0,0,0
23,166,本科,5000-10000,天津市,未婚,已购房(无贷款),"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",23 - 33,170 - 190,不限,0-0,天津市,不限,不限,5000,10000,7500,23,33,28,170,190,180,0,0,0
34,161,大专,2000-5000,黑龙江省,未婚,以后再告诉你,"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",34 - 44,170 - 190,不限,0-0,黑龙江省,不限,不限,2000,5000,3500,34,44,39,170,190,180,0,0,0
34,165,大专,2000-5000,山东省,未婚,与父母同住,"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",34 - 44,170 - 190,不限,0-0,山东省,不限,不限,2000,5000,3500,34,44,39,170,190,180,0,0,0
24,160,本科,5000-10000,内蒙古自治区,未婚,需要时购置,"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",24 - 34,170 - 190,不限,0-0,内蒙古自治区,不限,不限,5000,10000,7500,24,34,29,170,190,180,0,0,0
32,172,大专,2000以下,福建省,未婚,以后告诉你,"['希望', '找到', '真诚', '自信', '阳光', '相扶', '相持', '生活']",30 - 38,172 - 197,不限,0-0,福建省,不限,不限,2000,2000,2000,30,38,34,172,197,184.5,0,0,0
29,165,大专,2000-5000,四川省,未婚,住亲朋家,"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",29 - 39,170 - 190,不限,0-0,四川省,不限,不限,2000,5000,3500,29,39,34,170,190,180,0,0,0
50,163,初中,5000-10000,江苏省,未婚,住亲朋家,"['天空', '蓝', '蓝', '忧郁', '日子', '自由', '自由', '孤单', '日子', '背影', '份', '孤独', '身边', '少', '份', '快乐', '日子', '心灵', '份', '宁静', '面容', '添', '一丝', '忧郁', '有人', '心疼', '一份', '孤独', '有人', '羡慕', '一份', '宁静', '等待', '迦']",49 - 59,170 - 190,不限,0-0,江苏省,不限,不限,5000,10000,7500,49,59,54,170,190,180,0,0,0
31,168,大专,2000-5000,河北省,未婚,与父母同住,"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",30 - 40,170 - 190,不限,0-0,河北省,不限,不限,2000,5000,3500,30,40,35,170,190,180,0,0,0
32,161,大专,2000-5000,内蒙古自治区,未婚,已购房(有贷款),"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",31 - 41,170 - 190,不限,0-0,内蒙古自治区,不限,不限,2000,5000,3500,31,41,36,170,190,180,0,0,0
32,168,大专,2000-5000,黑龙江省,未婚,租房,"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",31 - 41,170 - 190,不限,0-0,黑龙江省,不限,不限,2000,5000,3500,31,41,36,170,190,180,0,0,0
29,169,大专,2000-5000,黑龙江省,未婚,以后再告诉你,"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",29 - 39,170 - 190,不限,0-0,黑龙江省,不限,不限,2000,5000,3500,29,39,34,170,190,180,0,0,0
35,165,大专,2000-5000,辽宁省,未婚,已购房(有贷款),"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",34 - 44,170 - 190,不限,0-0,辽宁省,不限,不限,2000,5000,3500,34,44,39,170,190,180,0,0,0
29,165,大专,2000-5000,内蒙古自治区,未婚,与父母同住,"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",29 - 39,170 - 190,不限,0-0,内蒙古自治区,不限,不限,2000,5000,3500,29,39,34,170,190,180,0,0,0
32,170,大专,2000-5000,陕西省,未婚,需要时购置,"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",31 - 41,170 - 190,不限,0-0,陕西省,不限,不限,2000,5000,3500,31,41,36,170,190,180,0,0,0
31,166,大专,2000-5000,湖南省,未婚,以后再告诉你,"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",30 - 40,170 - 190,不限,0-0,湖南省,不限,不限,2000,5000,3500,30,40,35,170,190,180,0,0,0
20,160,本科,2000以下,河北省,未婚,以后告诉你,"['希望', '过客', '盼望', '找到', '爱', '我会', '努力', '寻找', '珍惜', '放手']",20 - 28,160 - 185,不限,0-0,河北省,不限,不限,2000,2000,2000,20,28,24,160,185,172.5,0,0,0
21,170,本科,5000-10000,安徽省,未婚,以后告诉你,"['希望', '过客', '盼望', '找到', '爱', '我会', '努力', '寻找', '珍惜', '放手']",20 - 28,170 - 195,不限,0-0,安徽省,不限,不限,5000,10000,7500,20,28,24,170,195,182.5,0,0,0
63,162,初中,2000-5000,河南省,离异,已购房(无贷款),"['希望', '过客', '盼望', '建成', '家园', '找', '伴侣']",58 - 66,170 - 190,初中,2000-5000,河南省,离异,已购房(无贷款),2000,5000,3500,58,66,62,170,190,180,2000,5000,3500
24,172,中专/职高/技校,2000以下,山东省,离异,以后告诉你,"['希望', '过客', '盼望', '找到', '爱', '我会', '努力', '寻找', '珍惜', '放手']",23 - 31,172 - 197,不限,0-0,山东省,不限,不限,2000,2000,2000,23,31,27,172,197,184.5,0,0,0
80,172,中专/职高/技校,5000-10000,江苏省,未婚,以后告诉你,"['希望', '过客', '盼望', '找到', '爱', '我会', '努力', '寻找', '珍惜', '放手']",24 - 35,160 - 211,"初中,中专/职高/技校,高中,大专,本科,硕士,博士","2000以下,2000-5000,5000-10000,10000-20000,20000-50000",江苏省,不限,不限,5000,10000,7500,24,35,29.5,160,211,185.5,0,0,0
68,172,硕士,20000-50000,青海省,离异,以后告诉你,"['希望', '找到', '真诚', '自信', '阳光', '相扶', '相持', '生活']",20 - 31,160 - 211,"初中,中专/职高/技校,高中,大专,本科,硕士,博士","2000以下,2000-5000,5000-10000,10000-20000,20000-50000",青海省,不限,不限,20000,50000,35000,20,31,25.5,160,211,185.5,0,0,0
25,165,本科,10000-20000,香港特别行政区,未婚,以后再告诉你,"['希望', '过客', '盼望', '找到', '爱', '我会', '努力', '寻找', '珍惜', '放手']",24 - 32,165 - 190,不限,0-0,香港特别行政区,不限,不限,10000,20000,15000,24,32,28,165,190,177.5,0,0,0
22,168,大专,5000-10000,台湾省,未婚,以后再告诉你,"['希望', '找到', '真诚', '自信', '阳光', '相扶', '相持', '生活']",21 - 29,168 - 193,不限,0-0,台湾省,不限,不限,5000,10000,7500,21,29,25,168,193,180.5,0,0,0
24,163,高中,10000-20000,台湾省,未婚,以后再告诉你,"['来到', '希望', '朋友', '期待', '快快', '发信']",22 - 30,163 - 188,不限,0-0,台湾省,不限,不限,10000,20000,15000,22,30,26,163,188,175.5,0,0,0
22,156,大专,5000-10000,澳门特别行政区,未婚,以后再告诉你,"['希望', '找到', '真诚', '自信', '阳光', '相扶', '相持', '生活']",21 - 29,156 - 181,不限,0-0,澳门特别行政区,不限,不限,5000,10000,7500,21,29,25,156,181,168.5,0,0,0
23,167,本科,5000-10000,澳门特别行政区,未婚,以后再告诉你,"['来到', '希望', '朋友', '期待', '快快', '发信']",21 - 29,167 - 192,不限,0-0,澳门特别行政区,不限,不限,5000,10000,7500,21,29,25,167,192,179.5,0,0,0
34,172,高中,20000-50000,西藏自治区,未婚,以后告诉你,"['来到', '希望', '朋友', '期待', '快快', '发信']",32 - 40,172 - 197,不限,0-0,西藏自治区,不限,不限,20000,50000,35000,32,40,36,172,197,184.5,0,0,0
25,161,本科,5000-10000,澳门特别行政区,未婚,以后再告诉你,"['希望', '找到', '真诚', '自信', '阳光', '相扶', '相持', '生活']",24 - 32,161 - 186,不限,0-0,澳门特别行政区,不限,不限,5000,10000,7500,24,32,28,161,186,173.5,0,0,0
22,157,高中,10000-20000,澳门特别行政区,未婚,以后再告诉你,"['希望', '过客', '盼望', '找到', '爱', '我会', '努力', '寻找', '珍惜', '放手']",21 - 29,157 - 182,不限,0-0,澳门特别行政区,不限,不限,10000,20000,15000,21,29,25,157,182,169.5,0,0,0
24,167,本科,10000-20000,台湾省,未婚,以后再告诉你,"['希望', '找到', '真诚', '自信', '阳光', '相扶', '相持', '生活']",22 - 30,167 - 192,不限,0-0,台湾省,不限,不限,10000,20000,15000,22,30,26,167,192,179.5,0,0,0
22,169,高中,5000-10000,香港特别行政区,未婚,以后再告诉你,"['希望', '过客', '盼望', '找到', '爱', '我会', '努力', '寻找', '珍惜', '放手']",21 - 29,169 - 194,不限,0-0,香港特别行政区,不限,不限,5000,10000,7500,21,29,25,169,194,181.5,0,0,0
31,176,高中,5000-10000,澳门特别行政区,未婚,以后告诉你,"['希望', '找到', '真诚', '自信', '阳光', '相扶', '相持', '生活']",29 - 37,176 - 201,不限,0-0,澳门特别行政区,不限,不限,5000,10000,7500,29,37,33,176,201,188.5,0,0,0
31,167,大专,10000-20000,澳门特别行政区,未婚,以后再告诉你,"['来到', '希望', '朋友', '期待', '快快', '发信']",29 - 37,167 - 192,不限,0-0,澳门特别行政区,不限,不限,10000,20000,15000,29,37,33,167,192,179.5,0,0,0
24,162,本科,5000-10000,香港特别行政区,未婚,以后再告诉你,"['希望', '找到', '真诚', '自信', '阳光', '相扶', '相持', '生活']",22 - 30,162 - 187,不限,0-0,香港特别行政区,不限,不限,5000,10000,7500,22,30,26,162,187,174.5,0,0,0
24,161,本科,10000-20000,台湾省,未婚,以后再告诉你,"['来到', '希望', '朋友', '期待', '快快', '发信']",23 - 31,161 - 186,不限,0-0,台湾省,不限,不限,10000,20000,15000,23,31,27,161,186,173.5,0,0,0
31,164,本科,10000-20000,西藏自治区,未婚,以后再告诉你,"['希望', '过客', '盼望', '找到', '爱', '我会', '努力', '寻找', '珍惜', '放手']",29 - 37,164 - 189,不限,0-0,西藏自治区,不限,不限,10000,20000,15000,29,37,33,164,189,176.5,0,0,0
22,160,大专,10000-20000,香港特别行政区,未婚,以后再告诉你,"['来到', '希望', '朋友', '期待', '快快', '发信']",21 - 29,160 - 185,不限,0-0,香港特别行政区,不限,不限,10000,20000,15000,21,29,25,160,185,172.5,0,0,0
26,173,高中,20000-50000,香港特别行政区,未婚,以后告诉你,"['希望', '找到', '真诚', '自信', '阳光', '相扶', '相持', '生活']",25 - 33,173 - 198,不限,0-0,香港特别行政区,不限,不限,20000,50000,35000,25,33,29,173,198,185.5,0,0,0
30,166,大专,2000-5000,湖南省,未婚,住单位房,"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",30 - 40,170 - 190,不限,0-0,湖南省,不限,不限,2000,5000,3500,30,40,35,170,190,180,0,0,0
22,180,大专,2000-5000,内蒙古自治区,未婚,与父母同住,"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",21 - 31,170 - 190,不限,0-0,内蒙古自治区,不限,不限,2000,5000,3500,21,31,26,170,190,180,0,0,0
26,168,大专,2000-5000,河南省,未婚,需要时购置,"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",26 - 36,170 - 190,不限,0-0,河南省,不限,不限,2000,5000,3500,26,36,31,170,190,180,0,0,0
32,178,硕士,20000-50000,陕西省,未婚,与父母同住,"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",32 - 42,170 - 190,不限,0-0,陕西省,不限,不限,20000,50000,35000,32,42,37,170,190,180,0,0,0
30,164,硕士,20000-50000,福建省,未婚,住亲朋家,"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",30 - 40,170 - 190,不限,0-0,福建省,不限,不限,20000,50000,35000,30,40,35,170,190,180,0,0,0
33,170,大专,2000-5000,贵州省,未婚,以后再告诉你,"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",32 - 42,170 - 190,不限,0-0,贵州省,不限,不限,2000,5000,3500,32,42,37,170,190,180,0,0,0
28,162,大专,2000以下,吉林省,未婚,以后告诉你,"['希望', '过客', '盼望', '找到', '爱', '我会', '努力', '寻找', '珍惜', '放手']",26 - 34,162 - 187,不限,0-0,吉林省,不限,不限,2000,2000,2000,26,34,30,162,187,174.5,0,0,0
36,169,大专,2000-5000,辽宁省,未婚,住亲朋家,"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",35 - 45,170 - 190,不限,0-0,辽宁省,不限,不限,2000,5000,3500,35,45,40,170,190,180,0,0,0
27,164,大专,2000-5000,黑龙江省,未婚,需要时购置,"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",26 - 36,170 - 190,不限,0-0,黑龙江省,不限,不限,2000,5000,3500,26,36,31,170,190,180,0,0,0
33,165,大专,2000-5000,湖南省,未婚,住亲朋家,"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",32 - 42,170 - 190,不限,0-0,湖南省,不限,不限,2000,5000,3500,32,42,37,170,190,180,0,0,0
52,175,初中,20000-50000,上海市,未婚,已购房(无贷款),"['想要', '未来', '房子', '住', '不用', '多大', '窗外', '阳光', '早晚', '酸奶', '吃', '苹果', '锅', '煮汤', '逛逛', '公园', '一年', '陪', '爸妈', '几次', '工作', '有本', '单反', '有书', '有歌', '听', '朋友', '奔', '聚', '走走', '幸福']",51 - 61,170 - 190,不限,0-0,上海市,不限,不限,20000,50000,35000,51,61,56,170,190,180,0,0,0
36,160,大专,2000-5000,辽宁省,未婚,已购房(有贷款),"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",36 - 46,170 - 190,不限,0-0,辽宁省,不限,不限,2000,5000,3500,36,46,41,170,190,180,0,0,0
28,160,大专,2000-5000,湖南省,未婚,租房,"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",27 - 37,170 - 190,不限,0-0,湖南省,不限,不限,2000,5000,3500,27,37,32,170,190,180,0,0,0
29,165,本科,5000-10000,天津市,未婚,住单位房,"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",28 - 38,170 - 190,不限,0-0,天津市,不限,不限,5000,10000,7500,28,38,33,170,190,180,0,0,0
51,163,博士,>50000,江苏省,未婚,需要时购置,"['岁月', '流逝', '只想', '找个', '相', '携', '一生', '伴侣', '最美', '风景', '一杯', '浓浓的', '咖啡', '露台', '两把', '藤椅', '两个', '慢慢', '老去', '爱人', '迟暮', '安详', '伽']",50 - 60,170 - 190,不限,0-0,江苏省,不限,不限,50000,50000,50000,50,60,55,170,190,180,0,0,0
27,160,大专,2000-5000,河北省,未婚,住亲朋家,"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",26 - 36,170 - 190,不限,0-0,河北省,不限,不限,2000,5000,3500,26,36,31,170,190,180,0,0,0
51,160,大专,2000-5000,甘肃省,离异,以后告诉你,"['希望', '找到', '真诚', '自信', '阳光', '相扶', '相持', '生活']",50 - 58,160 - 185,不限,0-0,甘肃省,不限,不限,2000,5000,3500,50,58,54,160,185,172.5,0,0,0
20,160,高中,2000-5000,辽宁省,未婚,以后告诉你,"['来到', '希望', '朋友', '期待', '快快', '发信']",19 - 27,160 - 185,不限,0-0,辽宁省,不限,不限,2000,5000,3500,19,27,23,160,185,172.5,0,0,0
78,168,中专/职高/技校,5000-10000,福建省,未婚,以后告诉你,"['希望', '找到', '真诚', '自信', '阳光', '相扶', '相持', '生活']",23 - 34,160 - 211,"初中,中专/职高/技校,高中,大专,本科,硕士,博士","2000以下,2000-5000,5000-10000,10000-20000,20000-50000",福建省,不限,不限,5000,10000,7500,23,34,28.5,160,211,185.5,0,0,0
59,151,博士,2000-5000,西藏自治区,未婚,以后告诉你,"['希望', '过客', '盼望', '找到', '爱', '我会', '努力', '寻找', '珍惜', '放手']",23 - 34,160 - 211,"初中,中专/职高/技校,高中,大专,本科,硕士,博士","2000以下,2000-5000,5000-10000,10000-20000,20000-50000",西藏自治区,不限,不限,2000,5000,3500,23,34,28.5,160,211,185.5,0,0,0
34,179,高中,5000-10000,青海省,未婚,以后告诉你,"['希望', '找到', '真诚', '自信', '阳光', '相扶', '相持', '生活']",32 - 40,179 - 204,不限,0-0,青海省,不限,不限,5000,10000,7500,32,40,36,179,204,191.5,0,0,0
26,159,大专,5000-10000,台湾省,未婚,以后再告诉你,"['希望', '过客', '盼望', '找到', '爱', '我会', '努力', '寻找', '珍惜', '放手']",25 - 33,159 - 184,不限,0-0,台湾省,不限,不限,5000,10000,7500,25,33,29,159,184,171.5,0,0,0
33,180,高中,2000-5000,台湾省,未婚,以后告诉你,"['来到', '希望', '朋友', '期待', '快快', '发信']",31 - 39,180 - 205,不限,0-0,台湾省,不限,不限,2000,5000,3500,31,39,35,180,205,192.5,0,0,0
31,168,高中,10000-20000,台湾省,未婚,以后再告诉你,"['来到', '希望', '朋友', '期待', '快快', '发信']",30 - 38,168 - 193,不限,0-0,台湾省,不限,不限,10000,20000,15000,30,38,34,168,193,180.5,0,0,0
36,175,高中,5000-10000,台湾省,未婚,以后告诉你,"['希望', '过客', '盼望', '找到', '爱', '我会', '努力', '寻找', '珍惜', '放手']",34 - 42,175 - 200,不限,0-0,台湾省,不限,不限,5000,10000,7500,34,42,38,175,200,187.5,0,0,0
24,159,大专,5000-10000,澳门特别行政区,未婚,以后再告诉你,"['希望', '过客', '盼望', '找到', '爱', '我会', '努力', '寻找', '珍惜', '放手']",23 - 31,159 - 184,不限,0-0,澳门特别行政区,不限,不限,5000,10000,7500,23,31,27,159,184,171.5,0,0,0
31,163,大专,5000-10000,台湾省,未婚,以后再告诉你,"['来到', '希望', '朋友', '期待', '快快', '发信']",29 - 37,163 - 188,不限,0-0,台湾省,不限,不限,5000,10000,7500,29,37,33,163,188,175.5,0,0,0
26,162,本科,5000-10000,澳门特别行政区,未婚,以后再告诉你,"['希望', '过客', '盼望', '找到', '爱', '我会', '努力', '寻找', '珍惜', '放手']",25 - 33,162 - 187,不限,0-0,澳门特别行政区,不限,不限,5000,10000,7500,25,33,29,162,187,174.5,0,0,0
23,163,本科,10000-20000,台湾省,未婚,以后再告诉你,"['希望', '过客', '盼望', '找到', '爱', '我会', '努力', '寻找', '珍惜', '放手']",21 - 29,163 - 188,不限,0-0,台湾省,不限,不限,10000,20000,15000,21,29,25,163,188,175.5,0,0,0
72,168,初中,2000以下,以后告诉你,未婚,以后告诉你,"['希望', '过客', '盼望', '找到', '爱', '我会', '努力', '寻找', '珍惜', '放手']",27 - 38,160 - 211,"初中,中专/职高/技校,高中,大专,本科,硕士,博士","2000以下,2000-5000,5000-10000,10000-20000,20000-50000",不限,不限,不限,2000,2000,2000,27,38,32.5,160,211,185.5,0,0,0
23,165,大专,5000-10000,台湾省,未婚,以后再告诉你,"['来到', '希望', '朋友', '期待', '快快', '发信']",22 - 30,165 - 190,不限,0-0,台湾省,不限,不限,5000,10000,7500,22,30,26,165,190,177.5,0,0,0
24,170,大专,5000-10000,澳门特别行政区,未婚,以后再告诉你,"['希望', '找到', '真诚', '自信', '阳光', '相扶', '相持', '生活']",22 - 30,170 - 195,不限,0-0,澳门特别行政区,不限,不限,5000,10000,7500,22,30,26,170,195,182.5,0,0,0
22,167,高中,10000-20000,西藏自治区,未婚,以后再告诉你,"['希望', '找到', '真诚', '自信', '阳光', '相扶', '相持', '生活']",21 - 29,167 - 192,不限,0-0,西藏自治区,不限,不限,10000,20000,15000,21,29,25,167,192,179.5,0,0,0
22,167,本科,10000-20000,澳门特别行政区,未婚,以后再告诉你,"['希望', '找到', '真诚', '自信', '阳光', '相扶', '相持', '生活']",21 - 29,167 - 192,不限,0-0,澳门特别行政区,不限,不限,10000,20000,15000,21,29,25,167,192,179.5,0,0,0
22,162,高中,10000-20000,香港特别行政区,未婚,以后再告诉你,"['来到', '希望', '朋友', '期待', '快快', '发信']",21 - 29,162 - 187,不限,0-0,香港特别行政区,不限,不限,10000,20000,15000,21,29,25,162,187,174.5,0,0,0
22,166,大专,5000-10000,台湾省,未婚,以后再告诉你,"['来到', '希望', '朋友', '期待', '快快', '发信']",21 - 29,166 - 191,不限,0-0,台湾省,不限,不限,5000,10000,7500,21,29,25,166,191,178.5,0,0,0
31,161,本科,5000-10000,西藏自治区,未婚,以后再告诉你,"['来到', '希望', '朋友', '期待', '快快', '发信']",30 - 38,161 - 186,不限,0-0,西藏自治区,不限,不限,5000,10000,7500,30,38,34,161,186,173.5,0,0,0
24,159,高中,5000-10000,台湾省,未婚,以后再告诉你,"['希望', '过客', '盼望', '找到', '爱', '我会', '努力', '寻找', '珍惜', '放手']",22 - 30,159 - 184,不限,0-0,台湾省,不限,不限,5000,10000,7500,22,30,26,159,184,171.5,0,0,0
24,163,本科,10000-20000,西藏自治区,未婚,以后再告诉你,"['希望', '过客', '盼望', '找到', '爱', '我会', '努力', '寻找', '珍惜', '放手']",22 - 30,163 - 188,不限,0-0,西藏自治区,不限,不限,10000,20000,15000,22,30,26,163,188,175.5,0,0,0
30,163,大专,2000-5000,吉林省,未婚,需要时购置,"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",29 - 39,170 - 190,不限,0-0,吉林省,不限,不限,2000,5000,3500,29,39,34,170,190,180,0,0,0
27,167,大专,2000-5000,安徽省,未婚,租房,"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",26 - 36,170 - 190,不限,0-0,安徽省,不限,不限,2000,5000,3500,26,36,31,170,190,180,0,0,0
28,161,高中,5000-10000,内蒙古自治区,未婚,以后再告诉你,"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",28 - 38,170 - 190,不限,0-0,内蒙古自治区,不限,不限,5000,10000,7500,28,38,33,170,190,180,0,0,0
30,166,本科,10000-20000,浙江省,未婚,已购房(有贷款),,35 - 49,166 - 191,不限,>50000,浙江省,不限,不限,10000,20000,15000,35,49,42,166,191,178.5,50000,50000,50000
32,164,大专,2000-5000,江西省,未婚,住单位房,"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",32 - 42,170 - 190,不限,0-0,江西省,不限,不限,2000,5000,3500,32,42,37,170,190,180,0,0,0
33,165,大专,2000-5000,黑龙江省,未婚,与父母同住,"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",33 - 43,170 - 190,不限,0-0,黑龙江省,不限,不限,2000,5000,3500,33,43,38,170,190,180,0,0,0
29,170,大专,2000-5000,吉林省,未婚,租房,"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",29 - 39,170 - 190,不限,0-0,吉林省,不限,不限,2000,5000,3500,29,39,34,170,190,180,0,0,0
60,161,大专,20000-50000,河北省,未婚,已购房(有贷款),"['想', '男人', '很高', '很帅', '时光', '放心', '交给', '有钱', '回家', '吃', '热热', '饭菜', '很早', '计划', '未来', '某天', '深情', '说', '爱', '丫头', '家', '佳']",60 - 70,170 - 190,不限,0-0,河北省,不限,不限,20000,50000,35000,60,70,65,170,190,180,0,0,0
26,160,本科,5000-10000,内蒙古自治区,未婚,以后再告诉你,"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",26 - 36,170 - 190,不限,0-0,内蒙古自治区,不限,不限,5000,10000,7500,26,36,31,170,190,180,0,0,0
27,163,本科,5000-10000,内蒙古自治区,未婚,与父母同住,"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",26 - 36,170 - 190,不限,0-0,内蒙古自治区,不限,不限,5000,10000,7500,26,36,31,170,190,180,0,0,0
23,163,大专,20000-50000,江苏省,未婚,住单位房,"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",23 - 33,170 - 190,不限,0-0,江苏省,不限,不限,20000,50000,35000,23,33,28,170,190,180,0,0,0
29,163,大专,2000-5000,河北省,未婚,已购房(无贷款),"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",28 - 38,170 - 190,不限,0-0,河北省,不限,不限,2000,5000,3500,28,38,33,170,190,180,0,0,0
33,166,大专,2000-5000,山西省,未婚,已购房(无贷款),"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",32 - 42,170 - 190,不限,0-0,山西省,不限,不限,2000,5000,3500,32,42,37,170,190,180,0,0,0
33,167,大专,2000-5000,内蒙古自治区,未婚,住亲朋家,"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",32 - 42,170 - 190,不限,0-0,内蒙古自治区,不限,不限,2000,5000,3500,32,42,37,170,190,180,0,0,0
27,166,大专,2000-5000,山东省,未婚,租房,"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",27 - 37,170 - 190,不限,0-0,山东省,不限,不限,2000,5000,3500,27,37,32,170,190,180,0,0,0
34,165,大专,2000-5000,安徽省,未婚,需要时购置,"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",33 - 43,170 - 190,不限,0-0,安徽省,不限,不限,2000,5000,3500,33,43,38,170,190,180,0,0,0
26,178,大专,5000-10000,江苏省,未婚,已购房(无贷款),"['风筝', '放', '收', '带回家', '别用', '一条', '看不见', '情思', '拴着', '心伤', '珈']",25 - 35,170 - 190,不限,0-0,江苏省,不限,不限,5000,10000,7500,25,35,30,170,190,180,0,0,0
32,169,大专,2000-5000,内蒙古自治区,未婚,需要时购置,"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",31 - 41,170 - 190,不限,0-0,内蒙古自治区,不限,不限,2000,5000,3500,31,41,36,170,190,180,0,0,0
34,162,大专,2000-5000,河北省,未婚,已购房(有贷款),"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",34 - 44,170 - 190,不限,0-0,河北省,不限,不限,2000,5000,3500,34,44,39,170,190,180,0,0,0
51,160,高中,2000以下,黑龙江省,未婚,已购房(无贷款),"['烟', '心事', '读懂', '今生', '种种', '皆', '前生', '因果', '相遇', '前生', '缘分', '想', '说话', '尴尬', '幸福', '感受', '嫁']",51 - 61,170 - 190,不限,0-0,黑龙江省,不限,不限,2000,2000,2000,51,61,56,170,190,180,0,0,0
