年龄,身高,学历,工资,家乡,婚姻,住房,自我介绍,对象年龄,对象身高,对象学历,对象薪水,对象家乡,对象婚姻,对象住房,最低工资,最高工资,平均工资,对象最低年龄,对象最高年龄,对象平均年龄,对象最低身高,对象最高身高,对象平均身高,对象最低薪水,对象最高薪水,对象平均薪水
26,166,本科,20000-50000,以后告诉你,未婚,以后告诉你,"['希望', '找到', '真诚', '自信', '阳光', '相扶', '相持', '生活']",21 - 32,160 - 211,"初中,中专/职高/技校,高中,大专,本科,硕士,博士","2000以下,2000-5000,5000-10000,10000-20000,20000-50000",不限,不限,不限,20000,50000,35000,21,32,26.5,160,211,185.5,0,0,0
40,190,博士,>50000,Bayern,未婚,已购房(无贷款),,20 - 64,144 - 196,不限,"5000-10000,10000-20000,20000-50000",Bayern,"未婚,离异","已购房(无贷款),住单位房",50000,50000,50000,20,64,42,144,196,170,10000,10000,10000
32,162,中专/职高/技校,2000-5000,以后告诉你,未婚,租房,"['来到', '找对象', '顾家', '愛我', '疼', '太帅', '太有钱', '成就', '学习', '付出', '宽容', '乐观', '自律', '感恩', '善良', '贤惠', '某人', '土', '天真', '傻', '宽容', '笨', '包容', '八大', '心态', '只能', '请问', '长', '好看', '疑问']",24 - 35,160 - 211,"初中,中专/职高/技校,高中,大专,本科,硕士,博士","2000以下,2000-5000,5000-10000,10000-20000,20000-50000",福建省,未婚,"已购房(无贷款),住单位房,住亲朋家,需要时购置",2000,5000,3500,24,35,29.5,160,211,185.5,0,0,0
28,161,博士,5000-10000,以后告诉你,未婚,以后告诉你,"['希望', '找到', '真诚', '自信', '阳光', '相扶', '相持', '生活']",26 - 37,160 - 211,"初中,中专/职高/技校,高中,大专,本科,硕士,博士","2000以下,2000-5000,5000-10000,10000-20000,20000-50000",不限,不限,不限,5000,10000,7500,26,37,31.5,160,211,185.5,0,0,0
30,163,本科,2000以下,以后告诉你,未婚,以后告诉你,"['来到', '希望', '朋友', '期待', '快快', '发信']",24 - 35,160 - 211,"初中,中专/职高/技校,高中,大专,本科,硕士,博士","2000以下,2000-5000,5000-10000,10000-20000,20000-50000",不限,不限,不限,2000,2000,2000,24,35,29.5,160,211,185.5,0,0,0
30,153,中专/职高/技校,20000-50000,以后告诉你,未婚,以后告诉你,"['来到', '希望', '朋友', '期待', '快快', '发信']",24 - 35,160 - 211,"初中,中专/职高/技校,高中,大专,本科,硕士,博士","2000以下,2000-5000,5000-10000,10000-20000,20000-50000",不限,不限,不限,20000,50000,35000,24,35,29.5,160,211,185.5,0,0,0
30,168,硕士,>50000,以后告诉你,未婚,租房,"['希望', '过客', '盼望', '找到', '爱', '我会', '努力', '寻找', '珍惜', '放手']",30 - 60,160 - 211,"初中,中专/职高/技校,高中,大专,本科,硕士,博士","2000以下,2000-5000,5000-10000,10000-20000,20000-50000",江苏省,不限,不限,50000,50000,50000,30,60,45,160,211,185.5,0,0,0
32,167,硕士,20000-50000,以后告诉你,未婚,以后告诉你,"['来到', '希望', '朋友', '期待', '快快', '发信']",27 - 38,160 - 211,"初中,中专/职高/技校,高中,大专,本科,硕士,博士","2000以下,2000-5000,5000-10000,10000-20000,20000-50000",不限,不限,不限,20000,50000,35000,27,38,32.5,160,211,185.5,0,0,0
28,163,本科,2000-5000,以后告诉你,未婚,以后告诉你,"['希望', '过客', '盼望', '找到', '爱', '我会', '努力', '寻找', '珍惜', '放手']",22 - 33,160 - 211,"初中,中专/职高/技校,高中,大专,本科,硕士,博士","2000以下,2000-5000,5000-10000,10000-20000,20000-50000",不限,不限,不限,2000,5000,3500,22,33,27.5,160,211,185.5,0,0,0
65,161,本科,2000-5000,黑龙江省,离异,已购房(无贷款),"['来到', '希望', '朋友', '期待', '快快', '发信']",58 - 64,172 - 181,"初中,中专/职高/技校,高中,大专,本科,硕士,博士","2000以下,2000-5000,5000-10000,10000-20000,20000-50000",广东省,不限,已购房(无贷款),2000,5000,3500,58,64,61,172,181,176.5,0,0,0
32,168,本科,20000-50000,以后告诉你,未婚,以后告诉你,"['希望', '过客', '盼望', '找到', '爱', '我会', '努力', '寻找', '珍惜', '放手']",26 - 37,160 - 211,"初中,中专/职高/技校,高中,大专,本科,硕士,博士","2000以下,2000-5000,5000-10000,10000-20000,20000-50000",不限,不限,不限,20000,50000,35000,26,37,31.5,160,211,185.5,0,0,0
36,161,大专,5000-10000,以后告诉你,未婚,以后告诉你,"['来到', '希望', '朋友', '期待', '快快', '发信']",27 - 38,160 - 211,"初中,中专/职高/技校,高中,大专,本科,硕士,博士","2000以下,2000-5000,5000-10000,10000-20000,20000-50000",不限,不限,不限,5000,10000,7500,27,38,32.5,160,211,185.5,0,0,0
31,164,本科,2000-5000,以后告诉你,未婚,以后告诉你,"['希望', '过客', '盼望', '找到', '爱', '我会', '努力', '寻找', '珍惜', '放手']",25 - 36,160 - 211,"初中,中专/职高/技校,高中,大专,本科,硕士,博士","2000以下,2000-5000,5000-10000,10000-20000,20000-50000",不限,不限,不限,2000,5000,3500,25,36,30.5,160,211,185.5,0,0,0
32,154,博士,2000-5000,以后告诉你,未婚,以后告诉你,"['来到', '希望', '朋友', '期待', '快快', '发信']",26 - 37,160 - 211,"初中,中专/职高/技校,高中,大专,本科,硕士,博士","2000以下,2000-5000,5000-10000,10000-20000,20000-50000",不限,不限,不限,2000,5000,3500,26,37,31.5,160,211,185.5,0,0,0
50,169,博士,5000-10000,以后告诉你,未婚,以后告诉你,"['希望', '过客', '盼望', '找到', '爱', '我会', '努力', '寻找', '珍惜', '放手']",44 - 55,160 - 211,"初中,中专/职高/技校,高中,大专,本科,硕士,博士","2000以下,2000-5000,5000-10000,10000-20000,20000-50000",不限,不限,不限,5000,10000,7500,44,55,49.5,160,211,185.5,0,0,0
37,158,本科,5000-10000,以后告诉你,未婚,以后告诉你,"['希望', '找到', '真诚', '自信', '阳光', '相扶', '相持', '生活']",35 - 45,160 - 211,"初中,中专/职高/技校,高中,大专,本科,硕士,博士","2000以下,2000-5000,5000-10000,10000-20000,20000-50000",不限,不限,不限,5000,10000,7500,35,45,40,160,211,185.5,0,0,0
33,164,大专,5000-10000,以后告诉你,未婚,以后告诉你,"['希望', '过客', '盼望', '找到', '爱', '我会', '努力', '寻找', '珍惜', '放手']",28 - 39,160 - 211,"初中,中专/职高/技校,高中,大专,本科,硕士,博士","2000以下,2000-5000,5000-10000,10000-20000,20000-50000",不限,不限,不限,5000,10000,7500,28,39,33.5,160,211,185.5,0,0,0
32,167,博士,>50000,以后告诉你,未婚,以后告诉你,"['希望', '过客', '盼望', '找到', '爱', '我会', '努力', '寻找', '珍惜', '放手']",27 - 38,160 - 211,"初中,中专/职高/技校,高中,大专,本科,硕士,博士","2000以下,2000-5000,5000-10000,10000-20000,20000-50000",不限,不限,不限,50000,50000,50000,27,38,32.5,160,211,185.5,0,0,0
50,166,高中,5000-10000,以后告诉你,未婚,以后告诉你,"['来到', '希望', '朋友', '期待', '快快', '发信']",44 - 55,160 - 211,"初中,中专/职高/技校,高中,大专,本科,硕士,博士","2000以下,2000-5000,5000-10000,10000-20000,20000-50000",不限,不限,不限,5000,10000,7500,44,55,49.5,160,211,185.5,0,0,0
47,158,高中,2000-5000,以后告诉你,离异,以后告诉你,"['来到', '希望', '朋友', '期待', '快快', '发信']",42 - 53,160 - 211,"初中,中专/职高/技校,高中,大专,本科,硕士,博士","2000以下,2000-5000,5000-10000,10000-20000,20000-50000",不限,不限,不限,2000,5000,3500,42,53,47.5,160,211,185.5,0,0,0
37,164,本科,10000-20000,以后告诉你,未婚,以后告诉你,"['来到', '希望', '朋友', '期待', '快快', '发信']",31 - 38,175 - 185,"本科,硕士,博士","10000-20000,20000-50000",不限,未婚,不限,10000,20000,15000,31,38,34.5,175,185,180,20000,20000,20000
29,163,本科,20000-50000,以后告诉你,未婚,以后告诉你,"['来到', '希望', '朋友', '期待', '快快', '发信']",24 - 35,160 - 211,"初中,中专/职高/技校,高中,大专,本科,硕士,博士","2000以下,2000-5000,5000-10000,10000-20000,20000-50000",不限,不限,不限,20000,50000,35000,24,35,29.5,160,211,185.5,0,0,0
31,168,本科,20000-50000,以后告诉你,未婚,以后告诉你,"['希望', '找到', '真诚', '自信', '阳光', '相扶', '相持', '生活']",26 - 37,160 - 211,"初中,中专/职高/技校,高中,大专,本科,硕士,博士","2000以下,2000-5000,5000-10000,10000-20000,20000-50000",不限,不限,不限,20000,50000,35000,26,37,31.5,160,211,185.5,0,0,0
31,161,博士,>50000,以后告诉你,未婚,以后告诉你,"['希望', '找到', '真诚', '自信', '阳光', '相扶', '相持', '生活']",27 - 38,160 - 211,"初中,中专/职高/技校,高中,大专,本科,硕士,博士","2000以下,2000-5000,5000-10000,10000-20000,20000-50000",不限,不限,不限,50000,50000,50000,27,38,32.5,160,211,185.5,0,0,0
36,161,博士,5000-10000,以后告诉你,未婚,以后告诉你,"['希望', '找到', '真诚', '自信', '阳光', '相扶', '相持', '生活']",44 - 55,160 - 211,"初中,中专/职高/技校,高中,大专,本科,硕士,博士","2000以下,2000-5000,5000-10000,10000-20000,20000-50000",不限,不限,不限,5000,10000,7500,44,55,49.5,160,211,185.5,0,0,0
